Year,Algo,Reward,GDP,Annual_CO2,Support,Investment,Risk,Atm_CO2,Temperature,Tax,GreenSub,CapStrict,IndSub,MixFund
38,PPO,183.3206908979941,180.9294582426736,20.0,100.0,100.0,13.043836723397465,350.0,0.9981759126265988,0.0,0.9485074,0.0,1.0,0.0
39,PPO,185.70392189445116,183.31268077231232,20.0,100.0,100.0,13.043794389305884,350.0,0.9981759004547386,0.0,0.9505359,0.0,1.0,0.0
40,PPO,187.9965017984922,185.6052485558063,20.0,100.0,100.0,13.043733786570495,350.0,0.9981758830302687,0.0,0.9534397,0.0,1.0,0.0
41,PPO,189.98845431899912,187.5971837585446,20.0,100.0,100.0,13.043647197727424,350.0,0.998175858134233,0.0,0.9575887,0.0,1.0,0.0
42,PPO,191.75663994922755,189.36534805727632,20.0,100.0,100.0,13.04354054024391,350.0,0.9981758274679744,0.0,0.96269923,0.0,1.0,0.0
43,PPO,193.49807483436675,191.10675751807534,20.0,100.0,100.0,13.043413418542906,350.0,0.9981757909177029,0.0,0.96879035,0.0,1.0,0.0
44,PPO,195.5198476118968,193.12849774816002,20.0,100.0,100.0,13.043250681316033,350.0,0.9981757441269943,0.0,0.976588,0.0,1.0,0.0
45,PPO,197.84251943242836,195.4511204299415,20.0,100.0,100.0,13.043004987565684,350.0,0.9981756734839582,0.0,0.9883606,0.0,1.0,0.0
46,PPO,199.69398728696373,197.30253970152157,20.0,100.0,100.0,13.042762072789163,350.0,0.9981756036394581,0.0,1.0,0.0,1.0,0.0
47,PPO,202.20023143943814,199.80878385399598,20.0,100.0,100.0,13.042762072789163,350.0,0.9981756036394581,0.0,1.0,0.0,1.0,0.0
48,PPO,202.39144758544217,200.0,20.0,100.0,100.0,13.042762072789163,350.0,0.9981756036394581,0.0,1.0,0.0,1.0,0.0
49,PPO,202.39144758544217,200.0,20.0,100.0,100.0,13.042762072789163,350.0,0.9981756036394581,0.0,1.0,0.0,1.0,0.0
50,PPO,202.39144758544217,200.0,20.0,100.0,100.0,13.042762072789163,350.0,0.9981756036394581,0.0,1.0,0.0,1.0,0.0
